timestamp,can_id,ecu,data,label,status,reason
1789616661.5170355,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.5283654,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.5388844,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.549574,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.560038,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.5707936,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.581648,0x555,Unknown,"[255, 255, 255, 255, 255, 255, 255, 255]",ATTACK,ANOMALY,Unknown CAN ID; Known simulated attack ID; High-frequency CAN traffic
1789616661.5925877,0x100,Engine ECU,"[101, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.643401,0x200,Brake ECU,"[0, 72, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.6942706,0x300,Steering ECU,"[34, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.7457151,0x400,Instrument Cluster ECU,"[78, 11, 58, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.796384,0x100,Engine ECU,"[86, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.8474205,0x200,Brake ECU,"[0, 60, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.8987596,0x300,Steering ECU,"[59, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616661.94969,0x400,Instrument Cluster ECU,"[82, 14, 18, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616662.0003088,0x100,Engine ECU,"[106, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616662.051297,0x200,Brake ECU,"[0, 88, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616662.1024573,0x300,Steering ECU,"[31, 0, 0, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
1789616662.153442,0x400,Instrument Cluster ECU,"[83, 15, 137, 0, 0, 0, 0, 0]",NORMAL,NORMAL,
